Fit ID	4318	152	4341	154	219	149	238	221	233	210	213	4317	220	4333	4356	215	3044-400	4362	224	223	
c26	3.27e+04	5.81e+04	3.27e+04	3.27e+04	5.81e+04	1.03e+05	1.03e+04	1.03e+04	1.84e+05	5.81e+04	5.81e+04	3.27e+04	3.27e+04	1.84e+05	3.27e+04	1.03e+04	1.03e+05	5.81e+04	1.84e+05	5.81e+04	
c279	8.89e+03	8.89e+03	8.89e+04	5.00e+03	8.89e+02	8.89e+02	2.81e+04	9.98e+03	1.58e+04	1.99e+02	8.89e+04	8.89e+04	3.15e+02	2.81e+04	8.89e+03	1.58e+04	3.15e+03	8.89e+04	5.00e+03	1.58e+03	
c280	3.51e+08	3.94e+08	1.40e+05	2.21e+04	2.79e+08	3.51e+06	7.00e+07	3.94e+08	4.42e+06	3.94e+06	1.97e+08	3.51e+07	2.21e+08	1.97e+07	3.94e+08	2.21e+08	4.42e+06	3.51e+04	6.24e+06	7.00e+06	
c287	6.32e+04	2.00e+07	1.12e+07	1.12e+06	3.56e+07	1.12e+06	6.32e+06	6.32e+06	6.32e+05	2.00e+07	6.32e+06	1.12e+06	1.12e+06	2.00e+06	1.78e+05	6.32e+06	2.00e+06	6.32e+06	3.56e+05	7.10e+06	
c30	5.00e+07	2.81e+08	8.89e+08	8.89e+05	3.15e+06	1.58e+07	7.92e+07	2.81e+08	8.89e+05	5.00e+08	2.81e+08	8.89e+07	1.58e+07	8.89e+08	1.58e+08	5.00e+07	2.81e+06	1.58e+06	2.81e+06	4.46e+06	
c31	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	
c41	4.00e+04	2.00e+05	1.26e+07	3.56e+05	1.79e+06	4.49e+06	7.11e+06	7.11e+03	4.00e+04	7.11e+06	1.26e+05	1.13e+06	7.98e+06	7.98e+05	1.26e+06	7.11e+04	4.00e+04	6.34e+04	7.11e+03	1.13e+07	
c426	2.67e+06	1.69e+04	1.50e+05	3.00e+05	1.06e+04	9.49e+07	1.50e+04	9.49e+05	9.49e+06	5.33e+04	5.33e+05	1.69e+06	1.69e+06	5.99e+03	3.37e+04	4.75e+05	4.75e+04	3.00e+05	5.33e+07	3.00e+06	
c44	8.89e+04	2.81e+04	1.58e+04	1.58e+04	2.81e+04	8.89e+03	2.81e+05	1.58e+04	1.58e+04	5.00e+03	2.81e+04	8.89e+04	5.00e+04	5.00e+04	1.58e+04	8.89e+04	2.81e+04	8.89e+03	2.81e+04	8.89e+03	
c444	3.94e+05	3.94e+05	7.00e+05	1.24e+06	7.00e+05	3.94e+05	1.24e+05	7.00e+05	7.00e+05	2.21e+05	7.00e+05	7.00e+05	7.00e+05	7.00e+05	7.00e+05	2.21e+05	7.00e+05	7.00e+05	1.24e+06	3.94e+06	
c461	3.94e+05	7.00e+04	2.21e+02	3.94e+05	2.21e+05	1.24e+05	3.94e+02	7.00e+04	1.24e+05	3.94e+04	2.21e+04	7.00e+04	1.11e+04	3.13e+04	3.94e+04	2.21e+04	2.21e+04	2.21e+03	7.00e+03	7.00e+03	
c463	3.98e+02	3.16e+03	1.00e+02	1.78e+03	3.98e+04	3.55e+04	1.78e+06	1.78e+06	3.55e+02	6.31e+03	2.00e+06	1.00e+03	6.31e+02	4.47e+02	5.62e+03	6.31e+05	1.78e+04	5.62e+04	1.12e+05	1.78e+02	
c47	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	3.02e+06	
c53	1.24e+05	7.00e+04	3.94e+04	1.24e+05	3.94e+05	1.24e+05	2.21e+05	1.24e+05	1.24e+05	2.21e+06	2.21e+04	7.00e+04	7.00e+03	7.00e+04	7.00e+04	2.21e+04	1.40e+04	1.24e+05	3.94e+04	7.00e+03	
c531	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	7.00e+04	
c55	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	6.95e+05	
c60	9.49e+04	5.33e+05	3.00e+04	1.69e+04	3.00e+04	8.46e+05	5.33e+04	5.33e+04	5.33e+05	3.00e+04	3.00e+04	3.00e+04	5.33e+04	5.99e+05	3.00e+04	5.33e+04	5.33e+04	3.00e+04	1.69e+05	3.00e+04	
k1	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	
