Fit ID	189	412	2137	2177	2162	2041	376	2132	884	609	667	747	757	816	236	915	750	608	2055	270	
c143	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	
c22	1.26e+04	1.13e+06	2.25e+05	1.42e+05	2.00e+03	1.26e+03	7.98e+05	2.25e+03	8.95e+04	1.13e+03	4.00e+03	7.98e+02	1.13e+06	1.42e+04	2.52e+04	2.52e+04	7.11e+05	8.95e+02	6.34e+04	2.00e+06	
c26	5.81e+04	5.81e+04	5.81e+04	5.81e+04	3.27e+04	5.81e+04	3.27e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	5.81e+04	
c279	2.23e+05	5.00e+04	1.41e+05	1.58e+05	2.81e+05	5.61e+04	1.26e+05	5.00e+06	4.46e+04	1.99e+04	5.00e+04	5.61e+04	6.29e+02	1.12e+05	8.89e+04	5.00e+04	3.54e+04	5.00e+03	1.58e+04	7.06e+04	
c280	1.24e+08	7.85e+07	5.56e+05	6.24e+07	4.96e+06	7.00e+04	3.94e+06	2.21e+04	7.00e+06	2.21e+07	4.96e+07	7.00e+06	3.94e+08	2.79e+07	2.21e+05	1.11e+07	4.42e+05	8.81e+04	7.85e+05	3.51e+07	
c287	2.24e+08	3.99e+07	1.12e+07	6.32e+08	6.32e+07	3.56e+07	7.10e+08	1.78e+08	7.10e+07	1.78e+06	1.78e+08	4.48e+09	1.26e+08	3.56e+07	3.17e+07	1.00e+08	7.10e+07	8.93e+07	2.00e+09	5.64e+08	
c30	1.12e+08	1.77e+06	1.58e+06	5.00e+07	4.46e+06	8.89e+07	3.97e+06	1.77e+06	9.98e+06	2.51e+08	7.92e+07	3.97e+06	2.23e+07	1.41e+07	1.12e+07	8.89e+06	3.54e+07	2.81e+07	1.41e+07	8.89e+06	
c31	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	1.10e+06	
c41	5.65e+04	4.49e+05	4.00e+05	7.11e+04	4.00e+05	7.11e+04	2.00e+04	4.00e+04	4.49e+04	4.00e+04	2.52e+04	2.00e+04	1.00e+05	3.18e+04	2.25e+04	2.52e+04	1.00e+05	3.18e+04	3.56e+04	1.79e+06	
c426	1.89e+04	1.69e+05	1.69e+05	1.69e+04	1.69e+05	9.49e+04	2.38e+04	9.49e+03	3.78e+04	1.69e+05	1.89e+04	2.38e+04	3.00e+05	3.00e+05	1.69e+05	3.78e+05	3.00e+05	3.00e+05	8.46e+03	1.89e+04	
