# Notes: Data obtained In-Cell Western (see Methods and Materials).
# Notes: All data normalized between 0 and 100.
# Notes: 0 indicates basal value; 100 indicates peak value for one signal across all conditions.
# Notes: 0 signal in pErbB1 indicate undetectable levels.

Condition: High (5e-9 M) EGF Measured Signal: pAkt
Time (min)	Signal	Standard Error
6e+02	0.091	0.017
9e+02	0.17	0.01
1.8e+03	0.07	0.0076
2.7e+03	0	0
3.6e+03	0	0
7.2e+03	0	0
1.1e+04	0	0

Condition: Low (1e-10 M) HRG Measured Signal: erk-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	5.4	1
3e+02	7.9	0.88
4.5e+02	8.9	0.83
6e+02	9	1.7
9e+02	7.5	1.2
1.8e+03	3.4	0.19
2.7e+03	1.9	0.27
3.6e+03	1.1	0.14
7.2e+03	3.7	0.65
1.1e+04	4.2	0.22

